Species,IUCN.Red.List.Status,iucn_2cat,Order,Family,Genus,Age_at_maturity_min_y,Age_at_maturity_max_y,Body_size_mm,Longevity_max_y,Litter_size_min_n,Litter_size_max_n,Reproductive_output_y,Offspring_size_min_mm,Offspring_size_max_mm,Development,migrations_reported,dispersal_dist_max_m,home_range_max_m2,breeding_habitat,breeding_habitat_2cat,incubation_period_min_d,incubation_period_max_d,larval_period_min_d,larval_period_max_d,larval_period_4cat,neoteny,dessication_avoidance_reported,inactive_during_cold_reported,pi_cytb_5up,Slope_Max,Slope_Min,Slope_Mean,Slope_SD,Alt_Max,Alt_Min,Alt_Average,Alt_SD,Bio1_Max,Bio1_Min,Bio1_Average,Bio1_SD,Bio10_Max,Bio10_Min,Bio10_Average,Bio10_SD,Bio11_Max,Bio11_Min,Bio11_Average,Bio11_SD,Bio12_Max,Bio12_Min,Bio12_Average,Bio12_SD,Bio13_Max,Bio13_Min,Bio13_Average,Bio13_SD,Bio14_Max,Bio14_Min,Bio14_Average,Bio14_SD,Bio15_Max,Bio15_Min,Bio15_Average,Bio15_SD,Bio16_Max,Bio16_Min,Bio16_Average,Bio16_SD,Bio17_Max,Bio17_Min,Bio17_Average,Bio17_SD,Bio18_Max,Bio18_Min,Bio18_Average,Bio18_SD,Bio19_Max,Bio19_Min,Bio19_Average,Bio19_SD,Bio2_Max,Bio2_Min,Bio2_Average,Bio2_SD,Bio3_Max,Bio3_Min,Bio3_Average,Bio3_SD,Bio4_Max,Bio4_Min,Bio4_Average,Bio4_SD,Bio5_Max,Bio5_Min,Bio5_Average,Bio5_SD,Bio6_Max,Bio6_Min,Bio6_Average,Bio6_SD,Bio7_Max,Bio7_Min,Bio7_Average,Bio7_SD,Bio8_Max,Bio8_Min,Bio8_Average,Bio8_SD,Bio9_Max,Bio9_Min,Bio9_Average,Bio9_SD,Total_Area,Lat_min,Lat_max,GBIF_occurrences,gbif_corrected,gbif_thinned,subsampPREthin,SDM_dataset,cytb5up,Lat_Extent,Lat_Midpoint,Elev_Extent,Elev_Midpoint,Slope_Range,gene,n_ind,n_bp,pi,FST_msat,AR_msat,median_pi_n5,overall_pi,hdi.lower95,cur.area.95,lgm.area.95,overlap.area.95,overlap.index.95,rel.range.size.95,hdi.lower99,cur.area.99,lgm.area.99,overlap.area.99,overlap.index.99,rel.range.size.99
Hyla squirella,Least Concern (LC),LC,Anura,Hylidae,Hyla,NA,NA,45,8.5,232,2000,1,0.8,1,larval,yes,NA,NA,ephemeral,aquatic,1,2,40,50,short,no,yes,yes,1,0.030928179,0,0.001673957,0.001611138,543,-14,63.02685568,55.85718987,244,124,186.7037327,20.42861693,292,230,265.4448402,9.618748517,203,11,100.6591395,32.1184407,1704,616,1306.726623,172.9206162,276,87,157.830009,27.91203776,113,18,68.39224486,15.42406638,69,9,25.25525953,11.84204326,672,216,427.8204872,78.31627913,360,88,238.8811797,49.44193621,660,173,391.1501164,96.09384648,473,93,311.6761884,83.68995165,146,68,125.3971838,10.93418561,54,30,41.57541435,4.012284298,8536,3021,6416.288716,972.8171345,366,298,329.9764211,9.469250045,159,-53,29.80904212,33.6447681,360,154,300.167379,32.87909605,284,50,212.6667616,70.56123565,287,11,175.2502968,43.86423443,768939.0711,24.94721466,39.06108776,6320,2051,847,NA,thinned,1,14.1138731,32.00415121,557,264.5,0.030928179,CYTB,36,1149,0.009661551,NA,NA,0.009921671,0.009661551,658.8,31468,1787,121,0.003845176,-16.60940123,449,38995,4707,365,0.009360174,-7.284469938
Hyla versicolor,Least Concern (LC),LC,Anura,Hylidae,Hyla,2,2,62,7.8,1000,2600,1,1.1,2,larval,yes,800,NA,generalist_aquatic,aquatic,21,21,45,65,short,no,no,yes,1,0.102107093,0,0.004837781,0.006282397,1490,-8,284.6793792,144.9693154,219,-4,87.91351306,49.34836019,289,109,208.4987288,34.44613829,141,-188,-45.09435958,69.92242174,1884,417,929.7384169,197.1848465,202,66,109.2658906,17.5371382,140,11,46.35003117,21.44463012,64,6,27.80805194,14.45612072,539,186,301.8940066,41.69612014,439,39,158.7174466,66.66932944,539,170,279.8000742,41.47975319,456,39,166.511091,76.0466507,147,74,118.5909171,10.16432903,43,19,29.57318961,4.533057705,13731,5620,9811.056761,1602.246797,367,161,284.7392644,33.09747575,80,-276,-115.5068745,72.62803481,522,250,400.246139,48.85372449,279,-61,175.8852514,50.29510419,287,-186,-25.59363465,93.07471663,2278017.478,27.90135768,53.13206971,10274,4011,1774,NA,thinned,1,25.23071203,40.5167137,1498,741,0.102107093,CYTB,30,701,0.022687417,NA,NA,0.022868829,0.022687417,473.6,128918,17885,10561,0.08192029,-6.208163265,256.4,203958,38583,27465,0.134660077,-4.286214136
Hyliola cadaverina,Least Concern (LC),LC,Anura,Hylidae,Pseudacris,NA,NA,51,NA,265,265,1,1.8,2.4,larval,yes,4,NA,ephemeral,aquatic,NA,NA,40,75,short,no,yes,yes,1,0.221552864,0.000266982,0.034160642,0.028086881,2992,5,775.7026419,507.382992,228,41,150.5230467,24.52625411,319,115,218.8378302,25.36615986,145,-19,93.36509275,27.54301333,879,80,409.6472737,154.3254034,162,15,77.48004497,31.15618596,8,0,1.136874649,1.147333397,102,51,79.61382799,11.91750059,446,37,217.7181001,88.60803157,65,1,11.41062395,9.414174086,150,1,29.69196178,23.30073999,446,26,207.6070826,86.22917777,188,100,148.7456436,17.14818912,65,39,51.67594154,4.753388641,7186,1938,4960.67032,954.2518757,418,201,309.1143901,32.56301364,89,-77,22.33754918,24.71530108,374,172,286.7768409,36.48905933,234,-19,97.83501967,28.20940689,285,76,197.0224845,32.41254404,63750.89208,29.84824908,35.79420398,3876,1554,202,NA,thinned,1,5.9459549,32.82122653,2987,1498.5,0.221285882,CYTB,63,1082,0.006448953,NA,NA,0.009889094,0.006448953,602.8,8745,14049,5414,0.619096627,0.60651801,410.6,12815,22940,10654,0.831369489,0.790089739
Hyliola regilla,Least Concern (LC),LC,Anura,Hylidae,Pseudacris,1,2,50,9,265,807,5,1.2,1.4,larval,yes,1900,NA,ephemeral,aquatic,7,35,60,75,short,no,yes,yes,1,0.252986521,0,0.03441446,0.029092507,3757,-82,1149.708051,641.2570653,243,-71,80.45294183,46.64505776,360,5,171.0976886,45.15907473,195,-134,-4.856677098,55.25083331,3555,47,678.1471367,570.3953042,556,8,101.3949606,94.40484571,156,0,19.20760337,16.71531593,132,8,43.42590338,22.51680812,1512,20,283.8413315,268.8849585,540,0,72.68059008,57.12209801,560,1,89.64716182,66.86711296,1455,18,261.3389819,251.6745687,194,42,137.4950844,28.84665189,65,28,40.34641819,6.444932421,9536,1800,6906.728438,1380.998846,456,60,272.3692504,54.24468105,130,-200,-66.15467362,56.49135616,440,132,338.523924,60.1624245,305,-122,24.86113487,69.77113217,329,-98,139.4877386,70.56602477,1543993.624,22.86713219,55.96614838,21925,5460,1605,NA,thinned,1,33.09901619,39.41664029,3839,1837.5,0.252986521,CYTB,81,756,0.034674774,NA,NA,0.036863711,0.034674774,478.2000122,65620,58293,31074,0.473544651,-0.125692622,152.3999939,110275,116758,61873,0.56107912,0.05878939
Incilius nebulifer,Least Concern (LC),LC,Anura,Bufonidae,Incilius,2,2,132,8,21,5614,2,1,1,larval,yes,1600,NA,generalist_aquatic,aquatic,1,2,20,30,short,no,yes,yes,1,0.17851539,0,0.005165246,0.009851766,2918,-4,233.7947977,307.7308497,262,108,203.342066,21.61267698,310,126,277.1569084,15.06659732,226,57,119.322301,34.39592333,3688,209,959.4807943,388.7387285,655,38,138.1038287,58.37090519,113,2,43.45372615,27.17236754,96,10,39.44235192,20.22235808,1760,111,338.6969047,148.9846333,366,15,155.3758779,91.43310745,1238,87,272.2497358,130.8314542,473,19,180.9305426,119.8681826,185,76,126.8512648,15.35426022,70,31,42.25734974,5.358050154,8237,1573,6157.40624,1258.31601,386,205,345.8238548,17.12397606,178,-28,45.47917832,39.5203585,391,156,300.3446765,44.66096439,300,72,239.1940456,42.14387175,287,62,166.5598856,56.99532831,603350.6114,19.6115514,33.9593237,5288,4578,822,NA,thinned,1,14.3477723,26.78543755,2922,1457,0.17851539,CYTB,32,699,0.005663446,NA,NA,0.006175807,0.005663446,598.4,27538,4677,1268,0.046045464,-4.887962369,305.8,50889,25980,7445,0.146298807,-0.958775982
Necturus maculosus,Least Concern (LC),LC,Caudata,Proteidae,Necturus,5,8,486,34,36,68,1,5,6,larval,no,256,136.1,permanent,aquatic,38,63,NA,NA,long,yes,no,no,1,0.102965139,0,0.004798228,0.006045948,1670,2,284.398056,141.2675561,193,-6,92.37034186,40.77689432,277,131,211.0177908,30.01666001,107,-165,-38.00350233,56.5749586,2043,444,994.8874771,212.9412891,205,73,112.505097,19.10069799,154,9,51.65349768,21.23742714,66,6,24.69550873,12.7476425,541,206,313.8272353,48.39318906,480,32,176.4876784,67.02601049,505,197,287.2076611,34.92566686,514,32,191.8888814,86.8082295,150,84,119.2826144,10.67106421,41,20,30.09002005,4.32599549,13250,6401,9631.931358,1282.281436,351,197,287.0114122,29.38798713,39,-251,-107.0549121,57.93407687,513,293,394.0663243,38.91816116,243,-57,169.6568308,43.70562746,267,-165,-2.261152047,101.0650414,1884288.589,30.4815391,50.73019521,1032,599,354,NA,thinned,1,20.24865611,40.60586716,1668,836,0.102965139,CYTB,8,800,0.003935458,NA,NA,0.002779853,0.003935458,433,111216,54887,10516,0.09455474,-1.026272159,261.3999939,165500,80154,24936,0.150670695,-1.064775308
Notophthalmus viridescens,Least Concern (LC),LC,Caudata,Salamandridae,Notophthalmus,0.5,5.5,140,15,200,375,1,1.5,1.5,larval,yes,1000,353,permanent,aquatic,20,35,60,150,mid,some,yes,yes,1,0.102965139,0,0.005223628,0.006846161,1670,-14,241.3780726,173.9097286,244,-20,105.1514235,60.33874571,293,109,214.9937171,41.60519651,203,-181,-14.90824364,83.55552386,2043,570,1097.13999,217.3847693,276,74,123.3435857,26.80076198,154,11,61.17509857,19.2632022,69,6,21.5428522,10.27984657,672,211,342.148271,69.1297748,480,43,206.1561701,60.20495994,660,170,308.9415628,65.0759274,523,43,239.5120684,91.63469159,150,59,119.5023222,12.14337031,54,19,32.36743837,6.524994212,13090,3021,8901.633681,1779.363652,366,161,287.9983882,38.97640967,159,-276,-84.71410557,85.12569919,512,154,372.7124938,54.07619169,284,-65,162.5790796,67.65546227,287,-180,42.18638551,119.6472657,6659643.698,24.94721466,51.11452459,17202,7822,2662,NA,thinned,1,26.16730993,38.03086963,1684,828,0.102965139,CYTB,146,1143,0.022531102,0.07935,4.4375,0.021585435,0.022531102,527.4,140901,39009,20487,0.145399962,-2.612012612,224.8,212925,101280,71588,0.336212281,-1.102340047
Plethodon albagula,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,2.5,2.5,163.5,6,8,15,1,4,5,direct,yes,NA,NA,terrestrial,terrestrial,120,120,0,0,none,no,yes,yes,1,0.040317029,4.34E-19,0.004924887,0.003894914,727,45,276.2325354,142.5257753,218,113,157.3899347,27.60475385,296,230,256.9920566,16.17694011,127,-19,48.47600653,39.77541994,1494,491,1027.872144,219.4956802,174,69,122.0932535,20.27753484,90,14,51.495321,16.87141288,51,13,25.61866159,7.534516035,464,182,324.6123504,59.61197553,323,50,187.3974429,60.29703381,334,141,253.6151251,45.53319268,348,56,192.5988575,66.16030938,156,114,132.4288901,7.08829862,43,29,36.2101741,3.326928461,9896,6276,8054.423177,926.6408715,368,305,333.9186072,14.19298375,54,-90,-28.72872688,39.17088326,406,302,362.6473341,26.65576161,266,121,186.9837323,39.03021868,287,-19,86.18917301,87.17275643,323541.0014,28.61139038,39.6004553,2301,707,203,NA,thinned,1,10.98906492,34.10592284,682,386,0.040317029,CYTB,7,1052,0.038705137,0.01955,3.738,0.036700664,0.038705137,605,12656,0,0,0,NA,508.3999939,16058,0,0,0,NA
Plethodon caddoensis,Near Threatened (NT),nonLC,Caudata,Plethodontidae,Plethodon,2,3,111,6,4,11,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,60,60,0,0,none,no,yes,yes,1,0.022761261,0.002876629,0.011377161,0.004555605,510,199,383.025,77.27390096,155,146,149.375,2.156534494,254,242,246.975,2.895509344,51,43,45.9,1.645506702,1493,1399,1461.55,26.59086984,170,161,167.1,2.415760219,85,77,82.5,2.038098661,20,18,19.075,0.416794852,464,437,454.125,8.431283322,321,290,309.5,8.596361783,334,308,326.15,6.490821923,321,290,309.95,8.886607613,139,126,131.725,3.686339996,38,36,36.8,0.516397779,7984,7670,7786.3,91.43870022,333,315,322.875,4.46173187,-25,-35,-29.625,2.733341151,365,343,352.5,6.547655678,154,143,147.225,2.722060871,248,43,60.95,53.67707337,754.262864,34.2699272,34.51848733,1121,118,20,NA,corrected,1,0.24856013,34.39420727,311,354.5,0.019884632,CYTB,333,1052,0.070853964,NA,NA,0.075470383,0.070853964,871,234,466,0,0,0.991452991,739.8,293,3203,0,0,9.931740614
Plethodon cinereus,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,1,5,127,25,1,14,1,3,4,direct,yes,90,24,terrestrial,terrestrial,60,60,0,0,none,no,yes,yes,1,0.102107093,0,0.006733597,0.007698916,1660,-8,302.393025,176.5985119,173,-17,63.23270256,37.8883536,259,109,184.7671107,27.48527215,84,-175,-69.68573586,53.98228288,2043,510,998.6130797,156.3808365,205,74,109.0836804,14.51171158,154,13,58.24210321,18.72080133,58,6,20.12025198,10.16136538,541,211,308.1841731,40.41802327,480,51,190.6688829,54.66384944,510,197,291.955765,36.68208013,514,51,207.473718,66.20814544,141,59,113.5849184,11.05184214,41,21,28.3454941,3.913001477,12389,5652,9849.84299,1231.212015,322,161,259.8206733,27.44165349,18,-259,-137.6502358,59.98361492,496,223,397.4709091,42.25314514,255,-65,146.2883434,67.33118405,214,-164,-31.59044673,70.14083289,1892339.614,33.8564958,50.05569174,94230,9708,1341,3000,thinned,1,16.19919594,41.95609377,1668,826,0.102107093,CYTB,86,1146,0.069538513,0.097142424,4.962384615,0.072474747,0.069538513,553.6,73732,8913,525,0.007120382,-7.272411085,199.2,123174,17419,4221,0.034268596,-6.071244044
Plethodon electromorphus,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,NA,NA,143,NA,9,15,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,no,1,0.044655938,4.45E-05,0.003780939,0.002606741,679,152,298.8945148,52.21566738,126,84,105.8197294,8.356276916,234,192,215.0499054,7.09024115,15,-37,-12.84824676,11.40491082,1339,868,1030.188273,71.35639165,145,91,112.1019933,8.264081209,90,43,62.80721664,8.532564155,23,12,17.88942238,2.415690157,391,263,313.9119744,16.15021411,295,157,206.5979921,24.78466121,388,263,302.696057,18.53763148,295,157,206.7498909,24.84229965,141,97,121.6265095,7.993633326,39,26,32.71380765,2.410084425,9574,7932,8809.062273,329.3142435,308,263,289.4350356,6.749716971,-52,-97,-76.87108977,8.694328848,381,340,366.3061254,6.057494133,228,107,188.2381784,26.57950684,190,-35,-9.498035792,24.66093771,113396.5109,37.96715276,41.71502069,494,98,76,NA,thinned,1,3.74786793,39.84108673,527,415.5,0.044611438,CYTB,9,792,0.009948935,NA,NA,0.009191759,0.009948935,582.2,11097,127,0,0,-86.37795276,538.8,12352,227,0,0,-53.41409692
Plethodon elongatus,Near Threatened (NT),nonLC,Caudata,Plethodontidae,Plethodon,NA,NA,152,13.3,3,11,1,4,5,direct,no,NA,7.5,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.139460057,0.002074201,0.043544035,0.02347923,2270,5,834.3983516,442.7141414,127,31,92.54945055,17.8121631,210,102,158.2815934,17.70352532,89,-22,35.79601648,23.166815,2066,563,1358.239011,356.1914664,360,99,238.0494505,60.40484516,14,4,8.346153846,1.958247772,81,61,73.28228022,3.446297164,1035,280,679.6538462,175.2107451,92,32,53.7342033,11.6273802,99,32,64.02541209,15.46351564,966,263,633.9093407,163.5970156,177,84,134.9148352,19.7089726,57,45,49.43131868,2.28323215,6853,2386,4901.875,975.6340468,343,193,255.6799451,31.95558402,44,-77,-16.42239011,27.01392323,373,151,272.1023352,48.10228043,93,-13,39.74313187,22.95059585,210,98,156.6929945,18.42342317,23334.61355,40.61213332,42.98432354,1999,332,54,NA,thinned,1,2.37219022,41.79822843,2265,1137.5,0.137385856,CYTB,119,1146,0.039193005,NA,NA,0.043229167,0.039193005,837.6,1637,792,36,0.021991448,-1.066919192,149,13879,26090,8302,0.598169897,0.879818431
Plethodon fourchensis,Vulnerable (VU),nonLC,Caudata,Plethodontidae,Plethodon,3,3,178,6,14,14,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.020570902,0.006231585,0.013872965,0.004127285,527,303,458.3,60.83136983,152,146,147.7,1.82878223,251,243,245.4,2.270584849,48,44,45.1,1.449137675,1380,1310,1343.2,21.61172521,161,158,159.4,0.966091783,75,70,71.9,1.370320319,20,19,19.9,0.316227766,430,406,418.1,7.880355322,282,259,270.3,8.219894565,317,306,311.2,3.293090409,282,259,270.3,8.219894565,137,125,129.6,3.098386677,37,36,36.4,0.516397779,7861,7688,7756.6,47.910101,330,317,321.3,3.497618237,-27,-31,-28.8,1.619327707,361,344,350.1,4.557045827,151,143,144.8,2.394437999,48,44,45.1,1.449137675,197.1448988,34.58832353,34.72680275,496,73,9,NA,corrected,1,0.13847922,34.65756314,224,415,0.014339317,CYTB,133,1052,0.035031246,NA,NA,0.030228137,0.035031246,758.5999756,116,0,0,0,NA,396.2000122,305,0,0,0,NA
Plethodon glutinosus,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,2.5,2.5,206,6,15,34,1,4,5,direct,no,91.5,NA,terrestrial,terrestrial,90,90,0,0,none,no,yes,yes,1,0.102965139,0,0.004946263,0.006692024,1670,-14,222.970567,190.465659,225,37,139.0404623,39.16699138,278,153,235.9194873,26.97247341,167,-92,34.43819979,53.40558739,2040,616,1233.358845,184.3885236,222,79,136.4645569,26.87130965,149,23,70.73191166,12.40741906,59,7,18.90352887,7.022242233,613,221,378.33281,69.04818118,473,103,239.3740959,40.29185615,613,213,342.0356233,68.41276092,523,106,294.6140254,82.28775529,148,90,125.4023191,9.096813301,53,26,36.75173097,5.006066566,9986,4154,7808.461391,1139.62818,340,216,306.6221461,23.42482691,107,-165,-33.7825796,49.73464999,411,215,340.4047257,31.69069018,278,-23,172.1767522,61.96774605,239,-81,106.9381226,99.15902559,1341113.525,27.64275567,44.0941981,17678,3366,1441,NA,thinned,1,16.45144243,35.86847689,1684,828,0.102965139,CYTB,20,650,0.069868101,NA,NA,0.06503427,0.069868101,592.8,60060,5326,1483,0.024691975,-10.27675554,420.2,84698,11019,3283,0.038761246,-6.686541428
Plethodon hubrichti,Vulnerable (VU),nonLC,Caudata,Plethodontidae,Plethodon,NA,NA,131,NA,5,15,1,4,5,direct,no,1,0.6,terrestrial,terrestrial,60,90,0,0,none,no,yes,yes,1,0.050675265,0.017227294,0.028588603,0.019130254,933,653,810,143.0629232,113,99,105.3333333,7.094598885,211,196,202.6666667,7.637626158,10,-4,2.333333333,7.094598885,1223,1128,1179.666667,48.04511768,115,108,111.6666667,3.511884584,86,78,82.33333333,4.041451884,10,10,10,0,326,305,316.3333333,10.59874206,263,242,253,10.53565375,316,297,307.3333333,9.609023537,263,242,253,10.53565375,124,118,120.6666667,3.055050463,36,35,35.66666667,0.577350269,7767,7729,7742.666667,21.1266025,282,264,272,9.16515139,-55,-68,-62,6.557438524,337,332,334,2.645751311,193,178,184.6666667,7.637626158,10,-4,2.333333333,7.094598885,49.25842584,37.46677863,37.54270779,1550,71,7,NA,corrected,1,0.07592916,37.50474321,280,793,0.033447971,CYTB,16,810,0.010034014,NA,NA,0.005955335,0.010034014,614.4,694,4,0,0,-172.5,470,1449,44,0,0,-31.93181818
Plethodon idahoensis,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,3.2,3.5,130,5,1,13,1,4,5,direct,no,10,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.197167486,0.000491781,0.042561145,0.027959737,2543,482,1363.376196,410.661292,111,-10,44.50938718,21.05630817,213,85,143.1601134,21.66504517,17,-104,-49.21767623,20.7132751,1018,303,691.901169,162.1076794,146,43,87.75823592,25.54772186,47,13,30.06765852,4.073204244,42,18,29.38841658,7.161297447,410,105,245.6907545,78.07180504,153,50,109.8290825,14.79505139,175,89,128.4144527,13.34563473,378,51,223.9773291,78.33146746,171,99,140.6284095,14.61965627,43,30,37.87371591,2.549525718,8419,6950,7531.339355,234.1034557,323,182,256.8051718,20.34035328,-32,-182,-108.9086079,27.76844288,412,327,365.7137797,16.69155108,155,-92,-12.21218562,56.18646642,208,-89,119.5432164,52.39720368,82818.05402,45.10884881,49.81699371,147,54,26,NA,thinned,1,4.7081449,47.46292126,2061,1512.5,0.196675705,CYTB,63,714,0.010280983,NA,NA,0.01097282,0.010280983,520.2000122,3609,99,0,0,-35.45454545,344,5427,4666,1,0.000184264,-0.163094728
Plethodon ouachitae,Near Threatened (NT),nonLC,Caudata,Plethodontidae,Plethodon,3,3,159,6,15.4,16.7,1,4,5,direct,yes,20,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.032269824,0.00165222,0.013918462,0.007954236,617,234,416.0967742,96.15402768,161,145,151.7741935,4.090850867,261,241,250.483871,5.127047965,52,42,45.75806452,2.351737996,1367,1246,1303.274194,30.77851569,173,159,168.0322581,3.625807957,73,58,66.17741935,3.704335933,26,20,22.66129032,1.535840117,428,394,410.7419355,8.101680627,268,220,246.5967742,11.76610815,313,282,296.6612903,8.016261236,268,220,246.5967742,11.76610815,143,120,130.4193548,5.957632897,37,34,35.96774194,0.829136267,8108,7682,7904.564516,118.0313408,342,313,327.6129032,7.367084168,-23,-39,-30.12903226,3.623619561,378,340,357.7419355,9.695250627,160,141,150.016129,4.850188218,52,42,45.75806452,2.351737996,1154.098835,34.55154959,34.81248354,2256,164,17,NA,corrected,1,0.26093395,34.68201657,383,425.5,0.030617604,CYTB,294,1052,0.026149122,NA,NA,0.026707172,0.026149122,927.8,329,0,0,0,NA,729.6,525,0,0,0,NA
Plethodon punctatus,Near Threatened (NT),nonLC,Caudata,Plethodontidae,Plethodon,3,3,171,15,7,16,1,4,5,direct,no,17.4,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.075065024,0.000656541,0.018461777,0.012918004,1232,203,536.5271084,201.4516006,121,71,104.3599398,9.867521752,224,168,206.1746988,11.34391319,13,-37,-4.155120482,10.07431082,1334,894,996.0813253,77.91771202,128,91,100.563253,6.292199122,95,55,64.14156627,7.202594301,17,8,14.42620482,1.938100965,371,268,289.4066265,16.48730994,296,171,197.5075301,22.79272337,361,259,283.746988,15.46199027,296,171,197.5075301,22.79272337,139,112,130.3990964,4.977966453,38,33,36.06777108,1.076241646,8612,7824,8123.055723,199.6311793,304,234,283.246988,13.98142994,-55,-101,-73.39156627,9.353634953,375,335,356.6385542,8.741231591,221,104,189.626506,15.92333506,13,-37,-4.155120482,10.07431082,11142.72672,37.88580754,39.54017868,303,59,14,NA,corrected,1,1.65437114,38.71299311,1029,717.5,0.074408483,CYTB,22,1108,0.002911274,NA,NA,0.004416269,0.002911274,641.2000122,1233,0,0,0,NA,482.6000061,2381,43,0,0,-54.37209302
Plethodon richmondi,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,3,3,143,NA,8.3,8.5,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,90,120,0,0,none,no,yes,no,1,0.082933635,4.33E-05,0.009374529,0.009713615,1660,162,465.7815353,232.9235358,144,77,119.4058167,9.232880089,240,163,219.157254,12.27970262,45,-20,11.91224214,9.027884473,1736,928,1186.437775,95.41865844,164,99,123.2904971,7.392054528,123,63,77.36134596,7.583625935,17,8,13.34004058,2.023253053,471,272,341.8765641,20.70695363,384,195,255.8542442,22.02508586,468,264,326.5248563,21.07077315,384,195,270.0556307,31.09415361,146,105,130.0023673,6.270469161,41,31,36.73740277,1.947613704,9002,6899,8007.222354,421.9418116,314,219,292.0615489,14.16679408,-25,-81,-57.4790328,8.254798891,371,297,349.5405817,12.91733569,222,100,189.0828542,29.41840381,193,-20,99.87132229,63.37732601,100792.8188,35.52542319,39.1471894,3706,354,139,NA,thinned,1,3.62176621,37.3363063,1498,911,0.082890335,CYTB,12,810,0.013568521,NA,NA,0.011925647,0.013568521,621.2,9526,160,0,0,-58.5375,381,16697,2156,0,0,-6.744434137
Plethodon serratus,Least Concern (LC),LC,Caudata,Plethodontidae,Plethodon,2,3,105,NA,5,7,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,90,120,0,0,none,no,yes,no,1,0.102965139,4.34E-19,0.007336159,0.009860784,1670,12,308.6446243,210.4666789,191,77,143.290704,18.97655893,274,164,243.8209933,16.47123892,102,-17,34.54093142,27.10582487,2043,860,1252.871293,194.129031,205,102,141.1518101,20.48403103,154,33,69.66736402,20.91495463,34,7,19.26523558,4.985949266,549,289,379.4458796,49.68243764,480,124,243.4211388,61.00711225,510,243,306.4147717,40.16660772,523,124,282.6287066,97.67244784,150,109,132.3738403,5.563355535,43,29,36.55002729,3.157599463,9801,6621,8079.211843,831.6243059,347,224,318.9915408,17.73830664,35,-87,-40.43578315,28.73745743,405,299,359.427324,29.57264741,241,8,129.7751501,49.90730257,265,-14,97.94697108,88.46571157,192070.2701,30.89180096,39.06422629,4862,737,170,NA,thinned,1,8.17242533,34.97801363,1658,841,0.102965139,CYTB,241,1140,0.033783842,NA,NA,0.041702976,0.033783842,557,14030,21515,2231,0.159016393,0.533499644,214.6,42688,107349,32713,0.766327774,1.51473482
Plethodon shenandoah,Vulnerable (VU),nonLC,Caudata,Plethodontidae,Plethodon,NA,NA,110,NA,4,19,1,4,5,direct,no,NA,NA,terrestrial,terrestrial,NA,NA,0,0,none,no,yes,yes,1,0.067627758,0.022488864,0.045588246,0.015674232,907,240,597.8571429,209.1487719,120,87,102,10.33291976,223,187,203.4285714,11.01547363,10,-21,-7.142857143,9.718001875,1203,1054,1116.142857,49.64157244,116,103,108.7142857,4.322189108,78,68,72.07142857,3.315796359,14,13,13.85714286,0.36313652,337,299,314.1428571,12.08850148,241,211,222.7142857,10.17106432,324,297,308.2142857,8.78966676,241,211,222.7142857,10.17106432,132,110,120.5,7.501281942,36,32,34,1.358732441,8202,8040,8136.214286,50.89986938,300,252,274,15.20121453,-62,-85,-75.07142857,6.933356227,362,337,349.0714286,8.407545015,204,99,169.7857143,37.93958471,10,-21,-7.142857143,9.718001875,244.5484771,38.47821281,38.65761895,907,39,4,NA,corrected,1,0.17940614,38.56791588,667,573.5,0.045138894,CYTB,34,810,0.001316744,NA,NA,0.001,0.001316744,487,61,0,0,0,NA,349.2000122,135,0,0,0,NA
