Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Soprano pipistrelle,1121177,162,Gloucestershire,South West,England
Soprano pipistrelle,5101014,162,Buckinghamshire,South East,England
Soprano pipistrelle,1121097,161,Hertfordshire,East of England,England
Soprano pipistrelle,5100311,159,Surrey,South East,England
Soprano pipistrelle,1121237,157,Kent,South East,England
Soprano pipistrelle,5100758,157,Surrey,South East,England
Soprano pipistrelle,3120106,155,Cardiff,Wales,Wales
Soprano pipistrelle,5100151,153,Peterborough,East of England,England
Soprano pipistrelle,5100992,153,Cheshire,North West,England
Soprano pipistrelle,3120059,152,Carmarthenshire,Wales,Wales
Soprano pipistrelle,3120134,152,Isle of Anglesey,Wales,Wales
Soprano pipistrelle,3120077,149,Carmarthenshire,Wales,Wales
Soprano pipistrelle,1120745,148,Norfolk,East of England,England
Soprano pipistrelle,5100974,148,Rhondda Cynon Taff,Wales,Wales
Soprano pipistrelle,1120104,147,West Sussex,South East,England
Soprano pipistrelle,5101086,147,Reading,South East,England
Soprano pipistrelle,1120431,146,Somerset,South West,England
Soprano pipistrelle,1121004,146,Kent,South East,England
Soprano pipistrelle,1120057,145,Isle of Wight,South East,England
Soprano pipistrelle,5100887,145,West Midlands,West Midlands,England
Soprano pipistrelle,1121219,145,Surrey,South East,England
Soprano pipistrelle,5101085,144,Dorset,South West,England
Soprano pipistrelle,3120041,144,Powys,Wales,Wales
Soprano pipistrelle,1120316,143,Leicestershire,East Midlands,England
Soprano pipistrelle,5100107,141,Suffolk,East of England,England
Soprano pipistrelle,1120837,140,Norfolk,East of England,England
Soprano pipistrelle,3120007,140,Ceredigion,Wales,Wales
Soprano pipistrelle,1121201,138,Lincolnshire,East Midlands,England
Soprano pipistrelle,2120193,138,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,1120659,138,Hertfordshire,East of England,England
Soprano pipistrelle,5100288,137,Bridgend,Wales,Wales
Soprano pipistrelle,1121187,137,Kent,South East,England
Soprano pipistrelle,1120670,136,Herefordshire,West Midlands,England
Soprano pipistrelle,1121040,135,Greater London,London,England
Soprano pipistrelle,5100918,135,Windsor and Maidenhead,South East,England
Soprano pipistrelle,5100051,134,North Yorkshire,Yorkshire and The Humber,England
Soprano pipistrelle,1121007,133,Devon,South West,England
Soprano pipistrelle,5100019,132,Worcestershire,West Midlands,England
Soprano pipistrelle,5100506,130,Cumbria,North West,England
Soprano pipistrelle,1120281,130,Buckinghamshire,South East,England
Soprano pipistrelle,1120634,130,Leicestershire,East Midlands,England
Soprano pipistrelle,1120342,129,Hertfordshire,East of England,England
Soprano pipistrelle,1121278,125,Worcestershire,West Midlands,England
Soprano pipistrelle,5100203,125,Nottinghamshire,East Midlands,England
Soprano pipistrelle,1120787,125,Hertfordshire,East of England,England
Soprano pipistrelle,1120113,124,North Yorkshire,Yorkshire and The Humber,England
Soprano pipistrelle,1120597,123,Greater London,London,England
Soprano pipistrelle,5100292,123,East Sussex,South East,England
Soprano pipistrelle,5100143,123,City of Bristol,South West,England
Soprano pipistrelle,2120077,120,North Ayrshire,Scotland,Scotland
Soprano pipistrelle,5100133,119,Isle of Anglesey,Wales,Wales
Soprano pipistrelle,5100570,119,Cumbria,North West,England
Soprano pipistrelle,5100921,118,Hertfordshire,East of England,England
Soprano pipistrelle,1120206,118,Warwickshire,West Midlands,England
Soprano pipistrelle,1120699,114,Cornwall,South West,England
Soprano pipistrelle,5100640,113,Somerset,South West,England
Soprano pipistrelle,1120008,111,Cumbria,North West,England
Soprano pipistrelle,1120309,110,Cambridgeshire,East of England,England
Soprano pipistrelle,3120083,110,Bridgend,Wales,Wales
Soprano pipistrelle,1121224,109,Buckinghamshire,South East,England
Soprano pipistrelle,1121169,108,Gloucestershire,South West,England
Soprano pipistrelle,1120448,107,Dorset,South West,England
Soprano pipistrelle,1121082,107,Gloucestershire,South West,England
Soprano pipistrelle,5100176,105,Fife,Scotland,Scotland
Soprano pipistrelle,5100832,104,Nottinghamshire,East Midlands,England
Soprano pipistrelle,1120094,104,Somerset,South West,England
Soprano pipistrelle,2120136,100,Scottish Borders,Scotland,Scotland
Soprano pipistrelle,5100183,100,Bridgend,Wales,Wales
Soprano pipistrelle,5100056,99,Warwickshire,West Midlands,England
Soprano pipistrelle,1120544,97,Cambridgeshire,East of England,England
Soprano pipistrelle,5101017,96,Nottinghamshire,East Midlands,England
Soprano pipistrelle,3120054,94,Carmarthenshire,Wales,Wales
Soprano pipistrelle,5100227,94,Devon,South West,England
Soprano pipistrelle,5101068,91,Merseyside,North West,England
Soprano pipistrelle,2120186,91,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,2120007,90,Aberdeenshire,Scotland,Scotland
Soprano pipistrelle,5100529,90,Kent,South East,England
Soprano pipistrelle,5100367,89,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,5100756,89,Norfolk,East of England,England
Soprano pipistrelle,1120402,86,Norfolk,East of England,England
Soprano pipistrelle,5100122,85,Derbyshire,East Midlands,England
Soprano pipistrelle,5100516,85,Magherafelt,Northern Ireland,Northern Ireland
Soprano pipistrelle,1120170,82,Wiltshire,South West,England
Soprano pipistrelle,5100966,82,West Berkshire,South East,England
Soprano pipistrelle,5100487,81,Stirling,Scotland,Scotland
Soprano pipistrelle,1121246,81,Nottinghamshire,East Midlands,England
Soprano pipistrelle,1121003,79,South Yorkshire,Yorkshire and The Humber,England
Soprano pipistrelle,5100883,78,Merseyside,North West,England
Soprano pipistrelle,1120548,76,County Durham,North East,England
Soprano pipistrelle,3120131,75,Carmarthenshire,Wales,Wales
Soprano pipistrelle,1120076,74,Leicestershire,East Midlands,England
Soprano pipistrelle,2120009,73,Aberdeenshire,Scotland,Scotland
Soprano pipistrelle,5101090,72,Cardiff,Wales,Wales
Soprano pipistrelle,5100169,72,Fermanagh,Northern Ireland,Northern Ireland
Soprano pipistrelle,1120398,71,Hertfordshire,East of England,England
Soprano pipistrelle,5100775,68,Worcestershire,West Midlands,England
Soprano pipistrelle,1120682,68,Devon,South West,England
Soprano pipistrelle,1120822,68,Herefordshire,West Midlands,England
Soprano pipistrelle,1121089,67,Nottinghamshire,East Midlands,England
Soprano pipistrelle,2120181,67,Midlothian,Scotland,Scotland
Soprano pipistrelle,5100257,67,Lancashire,North West,England
Soprano pipistrelle,2120158,66,Angus,Scotland,Scotland
Soprano pipistrelle,5100266,66,Fermanagh,Northern Ireland,Northern Ireland
Soprano pipistrelle,1120013,64,Derbyshire,East Midlands,England
Soprano pipistrelle,1120732,62,Greater London,London,England
Soprano pipistrelle,5100706,61,Oxfordshire,South East,England
Soprano pipistrelle,5100291,60,Surrey,South East,England
Soprano pipistrelle,1120911,59,Isle of Wight,South East,England
Soprano pipistrelle,2120251,59,South Ayrshire,Scotland,Scotland
Soprano pipistrelle,1120731,59,Greater London,London,England
Soprano pipistrelle,5100175,59,Perth and Kinross,Scotland,Scotland
Soprano pipistrelle,2120207,58,Highland,Scotland,Scotland
Soprano pipistrelle,1120298,57,West Sussex,South East,England
Soprano pipistrelle,5100972,56,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,2120120,56,Highland,Scotland,Scotland
Soprano pipistrelle,3120093,55,Gwynedd,Wales,Wales
Soprano pipistrelle,1121262,52,Worcestershire,West Midlands,England
Soprano pipistrelle,5100498,51,Nottinghamshire,East Midlands,England
Soprano pipistrelle,5100879,50,Angus,Scotland,Scotland
Soprano pipistrelle,2120006,47,Dumfries and Galloway,Scotland,Scotland
Soprano pipistrelle,5100415,46,Nottinghamshire,East Midlands,England
Soprano pipistrelle,5100668,43,Nottinghamshire,East Midlands,England
Soprano pipistrelle,1121214,42,Hertfordshire,East of England,England
Soprano pipistrelle,5100269,42,North Lincolnshire,Yorkshire and The Humber,England
Soprano pipistrelle,5100356,40,Fermanagh,Northern Ireland,Northern Ireland
Soprano pipistrelle,2120249,38,Renfrewshire,Scotland,Scotland
Soprano pipistrelle,1120044,37,Hertfordshire,East of England,England
Soprano pipistrelle,2120256,32,South Ayrshire,Scotland,Scotland
Soprano pipistrelle,2120112,29,Scottish Borders,Scotland,Scotland
Soprano pipistrelle,1121091,29,Nottinghamshire,East Midlands,England
Soprano pipistrelle,1120323,28,Isle of Wight,South East,England
Soprano pipistrelle,2120246,25,Highland,Scotland,Scotland
Soprano pipistrelle,2120044,23,Highland,Scotland,Scotland
Soprano pipistrelle,3120043,22,Powys,Wales,Wales
Soprano pipistrelle,5100265,22,Highland,Scotland,Scotland
Soprano pipistrelle,1120215,18,Warwickshire,West Midlands,England
Soprano pipistrelle,2120192,18,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,5100850,17,East Riding of Yorkshire,Yorkshire and The Humber,England
Soprano pipistrelle,2120096,17,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,2120008,16,Aberdeenshire,Scotland,Scotland
Soprano pipistrelle,2120182,16,Midlothian,Scotland,Scotland
Soprano pipistrelle,1120160,16,Warwickshire,West Midlands,England
Soprano pipistrelle,1121104,15,Norfolk,East of England,England
Soprano pipistrelle,1121043,13,Dorset,South West,England
Soprano pipistrelle,4120036,13,Derry,Northern Ireland,Northern Ireland
Soprano pipistrelle,2120259,13,South Ayrshire,Scotland,Scotland
Soprano pipistrelle,1120030,12,Essex,East of England,England
Soprano pipistrelle,1120235,12,Norfolk,East of England,England
Soprano pipistrelle,1120586,11,West Berkshire,South East,England
Soprano pipistrelle,5100539,9,Leicestershire,East Midlands,England
Soprano pipistrelle,5100448,9,Windsor and Maidenhead,South East,England
Soprano pipistrelle,2120012,9,Aberdeenshire,Scotland,Scotland
Soprano pipistrelle,1121260,8,Cumbria,North West,England
Soprano pipistrelle,1121056,8,Rutland,East Midlands,England
Soprano pipistrelle,5100376,7,Derry,Northern Ireland,Northern Ireland
Soprano pipistrelle,5100862,6,Oxfordshire,South East,England
Soprano pipistrelle,3120013,6,Isle of Anglesey,Wales,Wales
Soprano pipistrelle,2120258,6,South Ayrshire,Scotland,Scotland
Soprano pipistrelle,5100483,6,Northamptonshire,East Midlands,England
Soprano pipistrelle,2120252,6,South Ayrshire,Scotland,Scotland
Soprano pipistrelle,1120541,6,Devon,South West,England
Soprano pipistrelle,5100573,5,Lincolnshire,East Midlands,England
Soprano pipistrelle,1120338,5,Herefordshire,West Midlands,England
Soprano pipistrelle,5100574,5,South Ayrshire,Scotland,Scotland
Soprano pipistrelle,5100187,5,Herefordshire,West Midlands,England
Soprano pipistrelle,5100563,4,Powys,Wales,Wales
Soprano pipistrelle,1121090,4,Nottinghamshire,East Midlands,England
Soprano pipistrelle,3120035,4,Gwynedd,Wales,Wales
Soprano pipistrelle,2120189,4,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,1120770,3,Leicestershire,East Midlands,England
Soprano pipistrelle,1121039,3,Greater London,London,England
Soprano pipistrelle,5100926,3,Glasgow City,Scotland,Scotland
Soprano pipistrelle,1121145,2,Cumbria,North West,England
Soprano pipistrelle,5100481,1,Cheshire East,North West,England
