Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Bat (species unknown),5100232,403,Devon,South West,England
Bat (species unknown),5100523,383,Worcestershire,West Midlands,England
Bat (species unknown),5101029,326,Cambridgeshire,East of England,England
Bat (species unknown),5100785,303,Monmouthshire,Wales,Wales
Bat (species unknown),1121272,285,Lincolnshire,East Midlands,England
Bat (species unknown),5100692,270,Lancashire,North West,England
Bat (species unknown),1121230,218,Worcestershire,West Midlands,England
Bat (species unknown),5100113,202,Antrim,Northern Ireland,Northern Ireland
Bat (species unknown),5100395,200,Channel Islands,Channel Islands,British Crown Dependencies
Bat (species unknown),5100587,198,Oxfordshire,South East,England
Bat (species unknown),5100835,177,Pembrokeshire,Wales,Wales
Bat (species unknown),5100684,169,Monmouthshire,Wales,Wales
Bat (species unknown),5100680,143,Kent,South East,England
Bat (species unknown),5100718,130,Northamptonshire,East Midlands,England
Bat (species unknown),3120129,104,Ceredigion,Wales,Wales
Bat (species unknown),5100248,103,Northamptonshire,East Midlands,England
Bat (species unknown),5100737,102,Cambridgeshire,East of England,England
Bat (species unknown),5100666,97,East Sussex,South East,England
Bat (species unknown),1121242,91,Suffolk,East of England,England
Bat (species unknown),5100326,86,Shropshire,West Midlands,England
Bat (species unknown),5100361,86,South Yorkshire,Yorkshire and The Humber,England
Bat (species unknown),5100929,86,West Yorkshire,Yorkshire and The Humber,England
Bat (species unknown),5100565,85,Suffolk,East of England,England
Bat (species unknown),5100202,84,Swindon,South West,England
Bat (species unknown),5100859,75,Wiltshire,South West,England
Bat (species unknown),5100160,72,Staffordshire,West Midlands,England
Bat (species unknown),5100693,70,Essex,East of England,England
Bat (species unknown),5100676,68,Bath and North East Somerset,South West,England
Bat (species unknown),5100699,68,Hampshire,South East,England
Bat (species unknown),5100343,67,Norfolk,East of England,England
Bat (species unknown),5100717,65,Staffordshire,West Midlands,England
Bat (species unknown),5100399,65,The Vale of Glamorgan,Wales,Wales
Bat (species unknown),5100426,61,Suffolk,East of England,England
Bat (species unknown),5101103,60,Buckinghamshire,South East,England
Bat (species unknown),1121276,58,Merseyside,North West,England
Bat (species unknown),5101108,57,Nottinghamshire,East Midlands,England
Bat (species unknown),5100655,56,Shropshire,West Midlands,England
Bat (species unknown),5100132,54,Lincolnshire,East Midlands,England
Bat (species unknown),5100764,51,Buckinghamshire,South East,England
Bat (species unknown),1121215,49,Cheshire,North West,England
Bat (species unknown),5100360,48,Herefordshire,West Midlands,England
Bat (species unknown),5100679,47,Cheshire,North West,England
Bat (species unknown),5100876,47,Isle of Wight,South East,England
Bat (species unknown),5100103,43,Cornwall,South West,England
Bat (species unknown),5100096,43,Worcestershire,West Midlands,England
Bat (species unknown),5100985,42,Antrim,Northern Ireland,Northern Ireland
Bat (species unknown),5100796,40,Highland,Scotland,Scotland
Bat (species unknown),5100522,39,Scottish Borders,Scotland,Scotland
Bat (species unknown),5100230,36,Gloucestershire,South West,England
Bat (species unknown),5100936,29,Nottinghamshire,East Midlands,England
Bat (species unknown),5100287,28,Devon,South West,England
Bat (species unknown),5100662,26,Monmouthshire,Wales,Wales
Bat (species unknown),5100342,23,Hertfordshire,East of England,England
Bat (species unknown),5100329,22,Northamptonshire,East Midlands,England
Bat (species unknown),5100789,22,Devon,South West,England
Bat (species unknown),5100732,20,Aberdeen City,Scotland,Scotland
Bat (species unknown),5100704,20,North Yorkshire,Yorkshire and The Humber,England
Bat (species unknown),5100773,19,Kent,South East,England
Bat (species unknown),5100373,19,Highland,Scotland,Scotland
Bat (species unknown),5100950,19,Nottinghamshire,East Midlands,England
Bat (species unknown),1120997,17,Isle of Wight,South East,England
Bat (species unknown),5100708,15,Lincolnshire,East Midlands,England
Bat (species unknown),5100325,8,Norfolk,East of England,England
Bat (species unknown),5100720,7,Norfolk,East of England,England
Bat (species unknown),5101026,7,Buckinghamshire,South East,England
Bat (species unknown),5100478,6,Herefordshire,West Midlands,England
Bat (species unknown),5101046,5,Gwynedd,Wales,Wales
Bat (species unknown),5100036,5,West Berkshire,South East,England
Bat (species unknown),5100931,4,Kent,South East,England
Bat (species unknown),5100337,4,Kent,South East,England
Bat (species unknown),5100912,3,Scottish Borders,Scotland,Scotland
Bat (species unknown),5100538,2,Worcestershire,West Midlands,England
Bat (species unknown),5100199,1,Dorset,South West,England
Bat (species unknown),5100102,1,Pembrokeshire,Wales,Wales
Bat (species unknown),5101045,1,West Midlands,West Midlands,England
Bat (species unknown),5100414,1,Nottinghamshire,East Midlands,England
Bat (species unknown),5100499,1,Nottinghamshire,East Midlands,England
Bat (species unknown),5100855,1,Cambridgeshire,East of England,England
Bat (species unknown),5101127,1,Surrey,South East,England
Bechstein's bat,5100075,131,West Sussex,South East,England
Brandt's bat,5100309,242,Cumbria,North West,England
Brandt's bat,5100128,129,Lancashire,North West,England
Brandt's bat,1060001,104,Cumbria,North West,England
Brandt's bat,5101101,9,Derbyshire,East Midlands,England
Brandt's bat,3060001,4,Ceredigion,Wales,Wales
Brown long-eared bat,1150059,252,Derbyshire,East Midlands,England
Brown long-eared bat,2150002,177,Highland,Scotland,Scotland
Brown long-eared bat,1150094,165,Norfolk,East of England,England
Brown long-eared bat,1150093,131,Cumbria,North West,England
Brown long-eared bat,1150072,129,Cornwall,South West,England
Brown long-eared bat,1150021,124,Rutland,East Midlands,England
Brown long-eared bat,1150028,120,Hampshire,South East,England
Brown long-eared bat,2150012,116,Argyll and Bute,Scotland,Scotland
Brown long-eared bat,1150101,112,Derbyshire,East Midlands,England
Brown long-eared bat,1150049,110,East Sussex,South East,England
Brown long-eared bat,5100568,109,Northamptonshire,East Midlands,England
Brown long-eared bat,5100580,108,Ceredigion,Wales,Wales
Brown long-eared bat,1150037,107,Lancashire,North West,England
Brown long-eared bat,5100409,106,Cheshire East,North West,England
Brown long-eared bat,1150053,104,Redcar and Cleveland,North East,England
Brown long-eared bat,1150085,104,Worcestershire,West Midlands,England
Brown long-eared bat,2150016,101,Aberdeenshire,Scotland,Scotland
Brown long-eared bat,1150116,100,Devon,South West,England
Brown long-eared bat,2150037,97,Stirling,Scotland,Scotland
Brown long-eared bat,2150023,95,Midlothian,Scotland,Scotland
Brown long-eared bat,1150071,93,Oxfordshire,South East,England
Brown long-eared bat,1150074,92,Suffolk,East of England,England
Brown long-eared bat,1150058,91,Lancashire,North West,England
Brown long-eared bat,1150133,89,Devon,South West,England
Brown long-eared bat,1150055,88,Leicestershire,East Midlands,England
Brown long-eared bat,1150034,84,Staffordshire,West Midlands,England
Brown long-eared bat,5100074,83,Rhondda Cynon Taff,Wales,Wales
Brown long-eared bat,1150044,82,Kent,South East,England
Brown long-eared bat,1150067,80,Devon,South West,England
Brown long-eared bat,2150008,80,Stirling,Scotland,Scotland
Brown long-eared bat,5100154,79,Fife,Scotland,Scotland
Brown long-eared bat,2150005,78,Renfrewshire,Scotland,Scotland
Brown long-eared bat,2150011,78,Angus,Scotland,Scotland
Brown long-eared bat,1150047,76,Devon,South West,England
Brown long-eared bat,1150005,75,Kent,South East,England
Brown long-eared bat,2150007,72,Scottish Borders,Scotland,Scotland
Brown long-eared bat,1150084,72,Lincolnshire,East Midlands,England
Brown long-eared bat,2150009,71,Highland,Scotland,Scotland
Brown long-eared bat,1150068,71,Staffordshire,West Midlands,England
Brown long-eared bat,5100532,71,Fermanagh,Northern Ireland,Northern Ireland
Brown long-eared bat,1150128,69,Wiltshire,South West,England
Brown long-eared bat,3150011,69,Caerphilly,Wales,Wales
Brown long-eared bat,5100186,66,Nottinghamshire,East Midlands,England
Brown long-eared bat,1150012,65,Merseyside,North West,England
Brown long-eared bat,1150097,64,Hampshire,South East,England
Brown long-eared bat,2150017,64,Highland,Scotland,Scotland
Brown long-eared bat,2150026,64,Highland,Scotland,Scotland
Brown long-eared bat,1150119,64,Cumbria,North West,England
Brown long-eared bat,2150040,63,Highland,Scotland,Scotland
Brown long-eared bat,5100491,62,Nottinghamshire,East Midlands,England
Brown long-eared bat,1150087,62,Lincolnshire,East Midlands,England
Brown long-eared bat,1150125,62,Kent,South East,England
Brown long-eared bat,1150102,62,Leicestershire,East Midlands,England
Brown long-eared bat,3150012,61,Powys,Wales,Wales
Brown long-eared bat,1150017,60,Devon,South West,England
Brown long-eared bat,3150014,60,Powys,Wales,Wales
Brown long-eared bat,1150065,59,Rutland,East Midlands,England
Brown long-eared bat,1150106,59,Cheshire,North West,England
Brown long-eared bat,1150086,57,Lincolnshire,East Midlands,England
Brown long-eared bat,1150088,56,Lincolnshire,East Midlands,England
Brown long-eared bat,1150078,56,Cornwall,South West,England
Brown long-eared bat,1150024,56,Suffolk,East of England,England
Brown long-eared bat,1150008,55,Kent,South East,England
Brown long-eared bat,5100104,54,Suffolk,East of England,England
Brown long-eared bat,1150035,53,Leicestershire,East Midlands,England
Brown long-eared bat,1150075,53,Norfolk,East of England,England
Brown long-eared bat,2120260,53,South Ayrshire,Scotland,Scotland
Brown long-eared bat,2150010,53,Aberdeenshire,Scotland,Scotland
Brown long-eared bat,1150114,52,Suffolk,East of England,England
Brown long-eared bat,5100601,52,Fife,Scotland,Scotland
Brown long-eared bat,5100595,50,Hertfordshire,East of England,England
Brown long-eared bat,3150003,49,Ceredigion,Wales,Wales
Brown long-eared bat,5100642,49,West Sussex,South East,England
Brown long-eared bat,2150014,49,Argyll and Bute,Scotland,Scotland
Brown long-eared bat,1150108,48,Devon,South West,England
Brown long-eared bat,5100639,48,Isle of Man,Isle of Man,British Crown Dependencies
Brown long-eared bat,1150001,48,Staffordshire,West Midlands,England
Brown long-eared bat,5100020,47,Somerset,South West,England
Brown long-eared bat,5100396,47,Suffolk,East of England,England
Brown long-eared bat,5100602,47,Carmarthenshire,Wales,Wales
Brown long-eared bat,2150042,47,Perth and Kinross,Scotland,Scotland
Brown long-eared bat,1150069,47,East Riding of Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,1150048,47,West Berkshire,South East,England
Brown long-eared bat,2150004,46,Renfrewshire,Scotland,Scotland
Brown long-eared bat,1150113,44,Hampshire,South East,England
Brown long-eared bat,5101039,44,Merseyside,North West,England
Brown long-eared bat,1150080,44,Worcestershire,West Midlands,England
Brown long-eared bat,1150073,43,Dorset,South West,England
Brown long-eared bat,1150129,42,West Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,5100682,42,Lancashire,North West,England
Brown long-eared bat,1150002,42,Wiltshire,South West,England
Brown long-eared bat,3150007,39,Pembrokeshire,Wales,Wales
Brown long-eared bat,5100150,39,Merseyside,North West,England
Brown long-eared bat,2150039,39,South Ayrshire,Scotland,Scotland
Brown long-eared bat,1150020,39,Hampshire,South East,England
Brown long-eared bat,1150006,39,Cheshire,North West,England
Brown long-eared bat,1150056,39,Nottinghamshire,East Midlands,England
Brown long-eared bat,1150041,39,Hampshire,South East,England
Brown long-eared bat,1150052,39,West Sussex,South East,England
Brown long-eared bat,2150013,38,North Ayrshire,Scotland,Scotland
Brown long-eared bat,5100165,38,Pembrokeshire,Wales,Wales
Brown long-eared bat,5100881,37,Isle of Man,Isle of Man,British Crown Dependencies
Brown long-eared bat,5101001,37,Cornwall,South West,England
Brown long-eared bat,5101004,37,South Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,5101105,36,Isle of Man,Isle of Man,British Crown Dependencies
Brown long-eared bat,1150063,36,Shropshire,West Midlands,England
Brown long-eared bat,5100221,35,Lincolnshire,East Midlands,England
Brown long-eared bat,1150013,34,Wiltshire,South West,England
Brown long-eared bat,2150006,33,South Lanarkshire,Scotland,Scotland
Brown long-eared bat,3150010,33,Cardiff,Wales,Wales
Brown long-eared bat,1150007,33,Isle of Wight,South East,England
Brown long-eared bat,1150109,33,Northamptonshire,East Midlands,England
Brown long-eared bat,1150018,33,Somerset,South West,England
Brown long-eared bat,1150120,32,Somerset,South West,England
Brown long-eared bat,5100888,31,Norfolk,East of England,England
Brown long-eared bat,2150035,31,Glasgow City,Scotland,Scotland
Brown long-eared bat,1150137,30,Devon,South West,England
Brown long-eared bat,5100279,30,Cornwall,South West,England
Brown long-eared bat,5100971,29,Perth and Kinross,Scotland,Scotland
Brown long-eared bat,3150008,29,Ceredigion,Wales,Wales
Brown long-eared bat,1150121,29,Surrey,South East,England
Brown long-eared bat,5100425,28,Oxfordshire,South East,England
Brown long-eared bat,5100788,28,Dorset,South West,England
Brown long-eared bat,1150089,28,Isle of Wight,South East,England
Brown long-eared bat,1150082,28,Leicestershire,East Midlands,England
Brown long-eared bat,1150060,27,Herefordshire,West Midlands,England
Brown long-eared bat,1150070,27,Gloucestershire,South West,England
Brown long-eared bat,5101044,27,Cambridgeshire,East of England,England
Brown long-eared bat,1150135,26,Kent,South East,England
Brown long-eared bat,1150011,26,Kent,South East,England
Brown long-eared bat,5100016,26,Worcestershire,West Midlands,England
Brown long-eared bat,1150014,26,North Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,5100656,26,Northamptonshire,East Midlands,England
Brown long-eared bat,1150095,26,Devon,South West,England
Brown long-eared bat,1150022,26,Hampshire,South East,England
Brown long-eared bat,2150032,25,Highland,Scotland,Scotland
Brown long-eared bat,1150098,25,Kent,South East,England
Brown long-eared bat,5100008,25,Argyll and Bute,Scotland,Scotland
Brown long-eared bat,1150096,25,Devon,South West,England
Brown long-eared bat,1150046,25,Shropshire,West Midlands,England
Brown long-eared bat,5100158,24,Worcestershire,West Midlands,England
Brown long-eared bat,2150018,24,Highland,Scotland,Scotland
Brown long-eared bat,5100782,24,East Riding of Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,1150126,24,Lancashire,North West,England
Brown long-eared bat,5100472,23,Hertfordshire,East of England,England
Brown long-eared bat,1150016,23,Northamptonshire,East Midlands,England
Brown long-eared bat,5100586,22,Derbyshire,East Midlands,England
Brown long-eared bat,1150033,22,Northumberland,North East,England
Brown long-eared bat,5100468,22,Down,Northern Ireland,Northern Ireland
Brown long-eared bat,1150103,22,Herefordshire,West Midlands,England
Brown long-eared bat,1150043,22,Surrey,South East,England
Brown long-eared bat,1150112,22,Rutland,East Midlands,England
Brown long-eared bat,1150090,22,Lincolnshire,East Midlands,England
Brown long-eared bat,1150117,21,Hartlepool,North East,England
Brown long-eared bat,1150111,21,Warwickshire,West Midlands,England
Brown long-eared bat,5101040,21,Merseyside,North West,England
Brown long-eared bat,1150061,20,Greater London,London,England
Brown long-eared bat,4150005,20,Down,Northern Ireland,Northern Ireland
Brown long-eared bat,5100041,20,Devon,South West,England
Brown long-eared bat,3150002,20,Powys,Wales,Wales
Brown long-eared bat,5100371,20,Cornwall,South West,England
Brown long-eared bat,1150081,19,Worcestershire,West Midlands,England
Brown long-eared bat,1150127,19,North Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,1150032,19,Cornwall,South West,England
Brown long-eared bat,1150115,19,Lancashire,North West,England
Brown long-eared bat,2150038,19,East Lothian,Scotland,Scotland
Brown long-eared bat,1150110,18,Hampshire,South East,England
Brown long-eared bat,1150132,17,City of Bristol,South West,England
Brown long-eared bat,5100222,17,Lincolnshire,East Midlands,England
Brown long-eared bat,1150023,17,Rutland,East Midlands,England
Brown long-eared bat,1150042,17,East Sussex,South East,England
Brown long-eared bat,1150123,17,Dorset,South West,England
Brown long-eared bat,1150131,16,West Midlands,West Midlands,England
Brown long-eared bat,5101102,16,Dumfries and Galloway,Scotland,Scotland
Brown long-eared bat,5100111,16,Dorset,South West,England
Brown long-eared bat,5101077,16,Down,Northern Ireland,Northern Ireland
Brown long-eared bat,1150079,16,Suffolk,East of England,England
Brown long-eared bat,1150092,16,Essex,East of England,England
Brown long-eared bat,1150130,15,West Midlands,West Midlands,England
Brown long-eared bat,5100225,15,Lincolnshire,East Midlands,England
Brown long-eared bat,5100973,15,Hampshire,South East,England
Brown long-eared bat,5100623,14,Cumbria,North West,England
Brown long-eared bat,5100641,14,Northamptonshire,East Midlands,England
Brown long-eared bat,2150029,14,Highland,Scotland,Scotland
Brown long-eared bat,4150001,14,Down,Northern Ireland,Northern Ireland
Brown long-eared bat,3150005,14,Pembrokeshire,Wales,Wales
Brown long-eared bat,3150004,14,Ceredigion,Wales,Wales
Brown long-eared bat,1150134,14,Dorset,South West,England
Brown long-eared bat,1150105,13,Dorset,South West,England
Brown long-eared bat,5100571,12,Leicestershire,East Midlands,England
Brown long-eared bat,1150122,12,Devon,South West,England
Brown long-eared bat,3150001,12,Carmarthenshire,Wales,Wales
Brown long-eared bat,5100261,12,Devon,South West,England
Brown long-eared bat,5100484,11,Cheshire,North West,England
Brown long-eared bat,1150027,10,Hampshire,South East,England
Brown long-eared bat,1150031,9,Cumbria,North West,England
Brown long-eared bat,1150040,9,Hampshire,South East,England
Brown long-eared bat,1150010,9,Derbyshire,East Midlands,England
Brown long-eared bat,1150038,8,Northumberland,North East,England
Brown long-eared bat,1150100,8,Isle of Wight,South East,England
Brown long-eared bat,2150024,8,Highland,Scotland,Scotland
Brown long-eared bat,2150036,8,Stirling,Scotland,Scotland
Brown long-eared bat,1150091,7,Leicestershire,East Midlands,England
Brown long-eared bat,3150009,7,Ceredigion,Wales,Wales
Brown long-eared bat,5100335,7,Northamptonshire,East Midlands,England
Brown long-eared bat,1150003,7,Cheshire,North West,England
Brown long-eared bat,1150025,6,Hertfordshire,East of England,England
Brown long-eared bat,5100099,6,North Yorkshire,Yorkshire and The Humber,England
Brown long-eared bat,5100485,6,Surrey,South East,England
Brown long-eared bat,1150076,6,Shropshire,West Midlands,England
Brown long-eared bat,2150028,6,Dumfries and Galloway,Scotland,Scotland
Brown long-eared bat,5100509,6,Windsor and Maidenhead,South East,England
Brown long-eared bat,1150099,6,Isle of Wight,South East,England
Brown long-eared bat,5100473,5,East Sussex,South East,England
Brown long-eared bat,5100661,5,Down,Northern Ireland,Northern Ireland
Brown long-eared bat,1150039,5,Staffordshire,West Midlands,England
Brown long-eared bat,5100228,5,Greater London,London,England
Brown long-eared bat,5100005,5,Worcestershire,West Midlands,England
Brown long-eared bat,1150057,5,Suffolk,East of England,England
Brown long-eared bat,1150019,5,Essex,East of England,England
Brown long-eared bat,2150031,5,Argyll and Bute,Scotland,Scotland
Brown long-eared bat,1150026,4,Hampshire,South East,England
Brown long-eared bat,5101003,4,Kent,South East,England
Brown long-eared bat,2150041,4,Highland,Scotland,Scotland
Brown long-eared bat,1150066,4,Milton Keynes,South East,England
Brown long-eared bat,2150030,4,Dumfries and Galloway,Scotland,Scotland
Brown long-eared bat,2150027,4,Aberdeenshire,Scotland,Scotland
Brown long-eared bat,1150124,4,Devon,South West,England
Brown long-eared bat,5100421,3,Somerset,South West,England
Brown long-eared bat,2150015,3,Highland,Scotland,Scotland
Brown long-eared bat,2150003,3,Dumfries and Galloway,Scotland,Scotland
Brown long-eared bat,5100660,3,Down,Northern Ireland,Northern Ireland
Brown long-eared bat,1150062,2,Greater London,London,England
Brown long-eared bat,5100139,2,Somerset,South West,England
Brown long-eared bat,2150020,2,Perth and Kinross,Scotland,Scotland
Brown long-eared bat,1150015,2,Lancashire,North West,England
Brown long-eared bat,1150054,2,Oxfordshire,South East,England
Brown long-eared bat,5100997,2,Herefordshire,West Midlands,England
Brown long-eared bat,1150064,2,Leicestershire,East Midlands,England
Common pipistrelle,1120168,1259,Oxfordshire,South East,England
Common pipistrelle,4120013,783,Antrim,Northern Ireland,Northern Ireland
Common pipistrelle,1120530,584,Suffolk,East of England,England
Common pipistrelle,2120233,562,Argyll and Bute,Scotland,Scotland
Common pipistrelle,5100555,545,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,4120017,543,Down,Northern Ireland,Northern Ireland
Common pipistrelle,1120568,521,Herefordshire,West Midlands,England
Common pipistrelle,1120124,503,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100652,502,Dumfries and Galloway,Scotland,Scotland
Common pipistrelle,2120046,483,Stirling,Scotland,Scotland
Common pipistrelle,2120133,470,South Ayrshire,Scotland,Scotland
Common pipistrelle,5100480,457,Northamptonshire,East Midlands,England
Common pipistrelle,2120172,457,Stirling,Scotland,Scotland
Common pipistrelle,1121053,450,Devon,South West,England
Common pipistrelle,1120850,448,Worcestershire,West Midlands,England
Common pipistrelle,3120100,438,Gwynedd,Wales,Wales
Common pipistrelle,3120128,428,Gwynedd,Wales,Wales
Common pipistrelle,3120022,427,Ceredigion,Wales,Wales
Common pipistrelle,5100284,421,Conwy,Wales,Wales
Common pipistrelle,1120887,411,Bedfordshire,East of England,England
Common pipistrelle,1121014,402,West Berkshire,South East,England
Common pipistrelle,1120729,392,Shropshire,West Midlands,England
Common pipistrelle,1120418,385,County Durham,North East,England
Common pipistrelle,2120029,372,Argyll and Bute,Scotland,Scotland
Common pipistrelle,1120173,365,Shropshire,West Midlands,England
Common pipistrelle,1121194,358,Devon,South West,England
Common pipistrelle,3120107,351,Carmarthenshire,Wales,Wales
Common pipistrelle,5100695,350,Kent,South East,England
Common pipistrelle,1120199,349,Hampshire,South East,England
Common pipistrelle,1120774,338,West Sussex,South East,England
Common pipistrelle,1120381,336,Norfolk,East of England,England
Common pipistrelle,5100357,335,Carmarthenshire,Wales,Wales
Common pipistrelle,1121115,335,Derbyshire,East Midlands,England
Common pipistrelle,5100389,335,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120821,321,Herefordshire,West Midlands,England
Common pipistrelle,1120153,320,Devon,South West,England
Common pipistrelle,1121119,317,Herefordshire,West Midlands,England
Common pipistrelle,1120166,314,Lancashire,North West,England
Common pipistrelle,1120509,311,Rutland,East Midlands,England
Common pipistrelle,1120114,310,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120779,305,Somerset,South West,England
Common pipistrelle,1120655,298,Lancashire,North West,England
Common pipistrelle,2120265,290,Highland,Scotland,Scotland
Common pipistrelle,1120604,289,Cornwall,South West,England
Common pipistrelle,1120547,287,Isles of Scilly,South West,England
Common pipistrelle,1120610,286,Cornwall,South West,England
Common pipistrelle,1120211,285,Staffordshire,West Midlands,England
Common pipistrelle,5100330,284,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120560,281,Hampshire,South East,England
Common pipistrelle,1120636,275,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120916,272,Norfolk,East of England,England
Common pipistrelle,2120264,265,East Ayrshire,Scotland,Scotland
Common pipistrelle,1120664,262,Worcestershire,West Midlands,England
Common pipistrelle,3120060,254,Monmouthshire,Wales,Wales
Common pipistrelle,2120030,254,North Lanarkshire,Scotland,Scotland
Common pipistrelle,1120712,252,Northamptonshire,East Midlands,England
Common pipistrelle,2120098,252,Highland,Scotland,Scotland
Common pipistrelle,1120677,251,Devon,South West,England
Common pipistrelle,1120785,247,Hampshire,South East,England
Common pipistrelle,2120091,246,Highland,Scotland,Scotland
Common pipistrelle,2120224,244,Highland,Scotland,Scotland
Common pipistrelle,1120898,243,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100295,243,Northumberland,North East,England
Common pipistrelle,3120004,242,Ceredigion,Wales,Wales
Common pipistrelle,1120294,242,East Sussex,South East,England
Common pipistrelle,1120820,241,Surrey,South East,England
Common pipistrelle,1120834,240,Hampshire,South East,England
Common pipistrelle,1121008,239,Devon,South West,England
Common pipistrelle,5100749,233,Suffolk,East of England,England
Common pipistrelle,1120697,232,Bath and North East Somerset,South West,England
Common pipistrelle,5100229,231,Lincolnshire,East Midlands,England
Common pipistrelle,2120130,229,Highland,Scotland,Scotland
Common pipistrelle,5100405,226,Dorset,South West,England
Common pipistrelle,5100621,225,Highland,Scotland,Scotland
Common pipistrelle,3120020,224,Neath Port Talbot,Wales,Wales
Common pipistrelle,1120304,223,Northumberland,North East,England
Common pipistrelle,5100726,219,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,1120088,219,Nottinghamshire,East Midlands,England
Common pipistrelle,2120145,218,Highland,Scotland,Scotland
Common pipistrelle,5100100,217,Highland,Scotland,Scotland
Common pipistrelle,2120205,216,Highland,Scotland,Scotland
Common pipistrelle,5100201,214,Lancashire,North West,England
Common pipistrelle,5100298,213,Highland,Scotland,Scotland
Common pipistrelle,5100619,210,Cheshire,North West,England
Common pipistrelle,1120635,210,Northumberland,North East,England
Common pipistrelle,1120233,210,Isle of Wight,South East,England
Common pipistrelle,1121258,209,County Durham,North East,England
Common pipistrelle,1120414,208,County Durham,North East,England
Common pipistrelle,1120895,208,Derbyshire,East Midlands,England
Common pipistrelle,1120554,206,Suffolk,East of England,England
Common pipistrelle,5100242,205,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120135,205,Devon,South West,England
Common pipistrelle,1120077,203,Merseyside,North West,England
Common pipistrelle,1120865,202,Greater Manchester,North West,England
Common pipistrelle,1121265,201,Somerset,South West,England
Common pipistrelle,1120757,198,Kent,South East,England
Common pipistrelle,1120720,198,Derbyshire,East Midlands,England
Common pipistrelle,1120188,197,Cheshire,North West,England
Common pipistrelle,1120754,196,Kent,South East,England
Common pipistrelle,5100276,196,Essex,East of England,England
Common pipistrelle,1120007,195,Cumbria,North West,England
Common pipistrelle,2120128,195,Highland,Scotland,Scotland
Common pipistrelle,2120176,193,Angus,Scotland,Scotland
Common pipistrelle,1120706,187,Leicestershire,East Midlands,England
Common pipistrelle,1120524,183,Hampshire,South East,England
Common pipistrelle,1120808,181,Kent,South East,England
Common pipistrelle,1120686,181,Kent,South East,England
Common pipistrelle,5100369,180,Wiltshire,South West,England
Common pipistrelle,1121031,179,Worcestershire,West Midlands,England
Common pipistrelle,1121171,179,Stockton-on-Tees,North East,England
Common pipistrelle,5100220,178,Cumbria,North West,England
Common pipistrelle,1120673,178,Kent,South East,England
Common pipistrelle,3120067,176,Powys,Wales,Wales
Common pipistrelle,5100286,176,Somerset,South West,England
Common pipistrelle,1121012,174,Dorset,South West,England
Common pipistrelle,1121068,174,Hertfordshire,East of England,England
Common pipistrelle,1120909,174,Isle of Wight,South East,England
Common pipistrelle,1120386,173,Kent,South East,England
Common pipistrelle,2120188,173,Argyll and Bute,Scotland,Scotland
Common pipistrelle,1120888,172,Suffolk,East of England,England
Common pipistrelle,1120807,171,County Durham,North East,England
Common pipistrelle,5100268,171,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,2120048,170,Scottish Borders,Scotland,Scotland
Common pipistrelle,1120563,170,Worcestershire,West Midlands,England
Common pipistrelle,1120890,170,Herefordshire,West Midlands,England
Common pipistrelle,3120121,168,Powys,Wales,Wales
Common pipistrelle,5100636,168,Isle of Man,Isle of Man,British Crown Dependencies
Common pipistrelle,1120559,166,West Sussex,South East,England
Common pipistrelle,1120106,166,West Sussex,South East,England
Common pipistrelle,5100146,165,Hampshire,South East,England
Common pipistrelle,5100541,164,Derbyshire,East Midlands,England
Common pipistrelle,5100024,162,Surrey,South East,England
Common pipistrelle,1120488,162,Staffordshire,West Midlands,England
Common pipistrelle,3120075,162,Monmouthshire,Wales,Wales
Common pipistrelle,1120127,160,East Riding of Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100048,160,West Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,5100920,158,North Yorkshire,Yorkshire and The Humber,England
Common pipistrelle,1120540,156,Northumberland,North East,England
Common pipistrelle,5100501,156,Isles of Scilly,South West,England
Common pipistrelle,2120118,156,Highland,Scotland,Scotland
Common pipistrelle,2120110,155,Na H-Eileanan An Iar,Scotland,Scotland
Common pipistrelle,1120370,153,Hertfordshire,East of England,England
Common pipistrelle,1121244,153,Oxfordshire,South East,England
Common pipistrelle,5100310,153,Highland,Scotland,Scotland
Common pipistrelle,1120683,152,Hartlepool,North East,England
Common pipistrelle,5100205,151,Somerset,South West,England
Common pipistrelle,2120180,151,Highland,Scotland,Scotland
Common pipistrelle,1120321,151,Leicestershire,East Midlands,England
Common pipistrelle,1120762,151,Cumbria,North West,England
